OBJECTID,NAME_OF_SITE,ADDRESS,ZIP,PHONE
1,Philadelphia Museum of Art,"2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130",19130,215-763-8100
2,Franklin Institute,"222 N 20th St, Philadelphia, PA 19103",19103,215-448-1200
3,Rodin Museum,"2151 Benjamin Franklin Pkwy, Philadelphia, PA 19130",19130,215-763-8100
4,Barnes Foundation,"2025 Benjamin Franklin Pkwy, Philadelphia, PA 19130",19130,215-278-7200
5,National Museum of American Jewish History,"101 S Independence Mall E, Philadelphia, PA 19106",19106,215-923-3811
6,Penn museum,"3260 South St, Philadelphia, PA 19104",19104,215-898-4000
7,Academy of Natural Sciences,"1900 Benjamin Franklin Pkwy, Philadelphia, PA 19103",19103,215-299-1000
8,African American Museum,"701 Arch St, Philadelphia, PA 19106",19106,215-574-0380
9,Pennsylvania Academy of the Fine Arts,"118-128 N Broad St, Philadelphia, PA 19102",19102,215-972-7600
10,M¨¹tter Museum,"19 S 22nd St, Philadelphia, PA 19103",19103,215-560-8564
11,Please Touch Museum,"4231 Avenue of the Republic, Philadelphia, PA 19131",19131,215-581-3181
12,Cherashore Playground,10th & Chew Ave ,19141,215-685-2897
13,Philadelphia History Museum,"15 S 7th St, Philadelphia, PA 19106",19106,215-685-4830
14,Rosenbach Museum & Library,"2008 Delancey Pl, Philadelphia, PA 19103",19103,215-732-1600
15,Eastern State Penitentiary,"2027 Fairmount Ave, Philadelphia, PA 19130",19130,215-236-3300
16,Independence Seaport Museum,"211 South Christopher Columbus Boulevard, Philadelphia, PA 19106",19106,215-413-8655
17,American Swedish Historical Museum,"1900 Pattison Ave, Philadelphia, PA 19145",19145,215-389-1776
18,Institute of Contemporary Art,"118 S 36th St, Philadelphia, PA 19104",19104,215-898-5911
19,Woodmere Art Museum,"9201 Germantown Ave, Philadelphia, PA 19118",19118,215-247-0476
20,The Fabric Workshop and Museum,"1214 Arch St, Philadelphia, PA 19107",19107,215-561-8888
21,Wagner Free Institute of Science,"1700 W Montgomery Ave, Philadelphia, PA 19121",19121,215-763-6529
22,Insectarium,"8046 Frankford Ave, Philadelphia, PA 19136",19136,215-338-3000
23,Stenton,"4601 N 18th St, Philadelphia, PA 19140",19140,215-329-7312
24,Historical Society of Pennsylvania,"1300 Locust St, Philadelphia, PA 19107",19107,215-732-6200
25,Germantown White House,"5442 Germantown Ave, Philadelphia, PA 19144",19144,215-965-2305
26,Cliveden,"6401 Germantown Ave, Philadelphia, PA 19144",19144,215-848-1777
27,Woodford Mansion,"2300 N 33rd St, Philadelphia, PA 19132",19132,215-229-6115
28,Grumblethorpe,"5267 Germantown Ave, Philadelphia, PA 19144",19144,215-843-4820
29,Abington Art Center,"515 Meetinghouse Rd, Jenkintown, PA 19046",19046,215-887-4882
30,The Center for Art in Wood,"141 N 3rd St, Philadelphia, PA 19106",19106,215-923-8000
31,Centennial Arboretum,"Montgomery Dr, Philadelphia, PA 19131",19131,215-685-0096
32,Pizza Brain,"2313 Frankford Ave, Philadelphia, PA 19125",19125,215-291-2965