X,Y,OBJECTID,NAME_OF_SITE,ADDRESS,ZIP,PHONE
-75.147131527170487,39.983487470664961,1,8th & Diamond Playground,8th & Diamond Streets,19122,215-685-2761
-75.210032984993205,39.94258995401475,2,48th & Woodland Playground,1414 S. 47th Street ,19143,215-685-2692
-75.055688831218262,40.019513601061497,3,American Legion Playground,Torresdale & Devereaux St.,19135,215-685-8733
-75.160635355809347,39.981066480611737,4,Amos Playground,1817-59 N. 16th Street ,19121,215-685-2708
-75.178118306085352,39.977008301050532,5,Athletic Recreation Center,1401 N. 26th Street ,19121,215-685-2709
-75.156002482927533,40.041287641000281,6,Belfield Recreation Center,21st & Chew Avenue ,19138,215-685-2220
-75.006935918872429,40.124295305317055,7,Boyle Playground,Kelvin & Napier Streets ,19116,215-685-0367
-75.067369095539263,40.000438966438537,8,Bridesburg Recreation Center,Richmond & Ash Streets ,19137,215-685-1247
-75.15914421297542,39.933058985056292,9,Capitolo Recreation Center,9th & Wharton Streets ,19147,215-685-1883
-75.072869059421791,40.011404432856786,10,Carmella Playground,Tulip & Wakeling Streets ,19124,215-685-1235
-75.167944236146639,39.993623670789042,11,CB Moore Recreation Center,2551 N. 22nd Street ,19132,215-685-9755
-75.1376364212841,40.038952779670382,12,Cherashore Playground,10th & Chew Ave ,19141,215-685-2897
-75.174753621308284,39.938835421558231,13,Chew Playground,19th Street & Washington Ave. ,19146,215-685-6596
-75.23548159696908,39.948443063017315,14,Christy Recreation Center,56th & Christian Streets ,19143,215-685-1997
-75.168036645237507,39.966023839389841,15,Clemente Playground,1800 Wallace Street ,19130,215-685-2760
-75.113452643534558,39.984114168286453,16,Cohocksink Recreation Center,Cedar & Cambria Streets ,19134,215-685-9884
-75.227947490462626,39.975624927052749,17,Conestoga Playground,53rd & Media Streets ,19131,215-685-0146
-75.146085115330521,39.97284251144545,18,Cruz Recreation Center,6th & Master Streets ,19122,215-685-2759
-75.150963014982338,39.96616317336342,19,East Poplar Playground,800 N. 8th Street ,19123,215-686-1786
-75.174888550066115,40.081721121470459,20,Emanuel Recreation Center,8500 Pickering Avenue ,19150,215-685-9253
-75.121541344609028,40.0212190278476,21,Feltonville Recreation Center,Ella Street & Wyoming Ave ,19120,215-685-9150
-75.105452994799606,40.014391240649388,22,Ferko Playground,J & Cayuga Streets ,19124,215-685-1224
-75.230199979850966,39.915816369309454,23,J. Finnegan Playground,69th & Grovers Street ,19142,215-685-4191
-75.127104953311118,39.971359875746806,24,Fishtown Recreation Center,E. Montgomery & Girard Ave ,19125,215-685-9885
-74.971019198625925,40.096401792912779,25,Fitzpatrick Playground,Academy & Torrey ,19154,215-685-9395
-75.227369623202208,39.934663620355458,26,FJ Myers Recreation Ctr.,5803 Kingsessing Ave. ,19143,215-685-2693
-75.082732867047682,40.074737877560743,27,Fox Chase Recreation Center ,Rockwell & Ridgeway St ,19111,215-685-0575
-75.166043044755583,39.968408711999693,28,Francisville Playground,1732 Francis Street ,19121,215-685-2762
-75.025737954704184,40.114653562490034,29,Gifford Playground,575 Tomlinson Road ,19116,215-685-0377
-75.101283696919467,39.986831116708984,30,Glavin Playground,Almond & Westmoreland St ,19134,215-685-9898
-75.173229294790772,39.923565880229347,31,Guerin Recreation Center,16th & Jackson Streets ,19145,215-685-1894
-75.166117204790993,40.024545510018413,32,Hollow Recreation Center,Wayne & Logan Streets ,19144,215-685-2195
-75.229839549928172,40.033727074413221,33,Hillside Recreation Center,201 Fountain Street ,19128,215-685-2595
-75.093207006941441,40.030713667431499,34,Houseman Recreation Center,Summerdale & Godfrey St ,19124,215-685-1240
-75.216510327867937,39.942203675980835,35,Kingsessing Recreation Center,50th Street & Kingsessing Ave ,19143,215-685-2697
-75.101084397295111,40.045042928614464,36,Lawncrest Recreation Center,Rising Sun & Comly Avenues ,19111,215-685-0597
-75.210561905484838,39.962580591125089,37,Lee Cultural Center,44th & Haverford Avenue ,19104,215-685-7655
-75.160531354134221,40.049673464881437,38,Lonnie Young Recreation Center,Chelten & Ardleigh Streets ,19138,215-685-2236
-75.060848444428032,40.028987530677796,39,Lower Mayfair Playground,Robbins & Hawthorne Streets ,19135,215-685-1227
-75.180258248945762,40.04780852315384,40,Mallery Recreation Center,Morton & Johnson Streets ,19144,215-685-2234
-75.186989436959706,39.989324953097793,41,Mander Playground,2140 N. 33rd Street ,19121,215-685-3894
-75.170739965040525,39.942424512784854,42,Marion Anderson Recreation Ctr,17th & Fitzwater Streets ,19146,215-685-6594
-75.183465439976572,39.946935000637957,43,Markward Playground,Taney & Pine Streets ,19102,215-685-6649
-75.070028350618443,40.039148394280183,44,Max Myers Playground,Oakland & Magee Sts. ,19149,215-685-1242
-75.240857320031182,39.926059135566902,45,McCreesh Playground,6744 Regent Street ,19142,215-685-2696
-75.120611342990429,40.0006047299211,46,McVeigh Recreation Center,D & Ontario Streets ,19124,215-685-9896
-75.210956297826186,39.965644650760517,47,Mill Creek Playground,44th & Aspen Streets ,19139,215-685-0260
-74.988341886194036,40.067801591627479,48,Mitchell Playground,Morrell & Crown Streets ,19114,215-685-9394
-75.170084188241773,39.980315814243198,49,M.L. King Recreation Center,2101 Cecil B. Moore Ave. ,19121,215-685-2733
-75.158107553938109,40.051914231449999,50,Morris Estate Recreation Center,1610 East Chelten ,19126,215-685-2891
-75.13807663539032,39.988698482506678,51,Nelson Playground,2500-34 N. 3rd Street ,19133,215-685-9890
-75.14375619408014,39.962568654006823,52,Northern Liberties R.C.,321 Fairmount Avenue ,19123,215-686-1785
-75.118446913773013,40.041212429768706,53,Olney Recreation Center,A & Champlost Sts. ,19120,215-685-2889
-74.991267517887053,40.095787299042556,54,Palmer Playground,Thornton & Comly ,19154,215-685-0371
-75.159034363522821,39.940967888886448,55,Palumbo Recreation Ctr.,10th & Fitzwater Sts. ,19147,215-686-1783
-75.257172369167677,39.974097973040578,56,Papa Playground,6839 Lansdowne Avenue ,19151,215-685-0141
-75.051687209063644,40.063150529807366,57,Pelbano Recreation Ctr,Bustleton & Solly Avenue,19152,215-683-1975
-75.151711837531181,39.985756781997104,58,Penrose Playground,1101 W. Susquehanna Ave. ,19122,215-685-2711
-75.024160109355847,40.048500432955542,59,Ramp Playground,3300 Solly Avenue ,19136,215-685-8746
-75.138286709804362,40.000578929451549,60,Rivera Recreation Center,3201 N. 5th Street ,19140,215-685-9887
-75.054052162515703,40.026317880451813,61,Roosevelt Playground,6455 Walker Street ,19135,215-685-8754
-75.238946435534345,39.956263673454757,62,Sayre-Morris Rec.Center,5835 Spruce Street ,19139,215-685-1994
-75.233732679073384,39.968002035088283,63,Shepard Recreation Ctr,57th & Haverford Avenue ,19131,215-685-1992
-75.132133761970195,39.977440384286218,64,Shissler Recreation Ctr,1800 Blair ,19125,215-685-9888
-75.092246641479704,40.021476237844695,65,Simpson Recreation Ctr,1010 Arrot St. ,19124,215-685-1223
-75.156749709538516,40.061635321050034,66,Simons Recreation Ctr.,7200 Woolston Street ,19138,215-685-3551
-75.186135663360247,39.92584850470972,67,Smith Playground,2100 S. 24th Street ,19145,215-685-1898
-75.152120740475198,39.943033866993169,68,Starr Garden Playground,6th & Lombard Streets ,19147,215-686-1782
-75.153038515117359,40.023593091270648,69,Stenton Park Playground,17th & Courtland Streets ,19140,215-685-9147
-75.122778781900848,40.049622384850089,70,Sturgis Playground,65th & 2nd Street ,19126,215-685-2877
-75.134566115676847,39.978789976241174,71,Towey Playground,Howard & Berks Streets ,19125,215-685-9892
-75.241230150265366,39.981239106177128,72,Tustin Recreation Center,60th St. & Columbia Ave. ,19131,215-685-0258
-75.188373266163623,39.93181580793911,73,Vare Recreation Center,26th & Morris Streets ,19145,215-685-1876
-75.051375335660879,40.029819794831219,74,Vote Recreation Center,4131 Unruh Ave ,19135,215-685-8753
-75.201215488665213,40.074730298692167,75,Water Tower Rec. Center,209 E. Hartwell Lane ,19118,215-685-9296
-75.22242387791276,39.96649752954314,76,West Mill Creek Plgd.,51st & Reno Streets ,19104,215-685-0186
-75.182287898858633,39.936041715547638,77,Wharton Square Plgd.,23rd & Wharton Streets ,19146,215-685-1888
-75.190741035954389,39.964103761040455,78,Wright James Rec.,3320-50 Haverford Ave ,19104,215-685-7686
